date,avg_temp,min_temp,max_temp,precipitation,wind_speed
2023-12-21,3.9,1.1,7.8,0.0,11.2
2023-12-22,1.1,-2.2,5.0,0.0,5.4
2023-12-23,4.5,2.2,6.7,0.0,9.9
2023-12-24,6.6,5.6,7.8,0.1,4.9
2023-12-25,7.4,6.1,8.9,0.0,8.0
2023-12-26,7.4,6.7,8.3,0.0,6.1
2023-12-27,7.9,6.7,9.4,6.7,12.3
2023-12-28,10.1,8.9,11.7,43.2,16.8
2023-12-29,9.4,7.8,12.2,0.1,9.1
2023-12-30,6.0,3.9,7.8,0.1,15.1
2023-12-31,5.5,4.4,6.1,0.0,9.1
